2005-03-31	46.72
2005-06-30	50.54
2005-09-30	47.29
2005-12-31	44.87
2006-03-31	49.21
2006-06-30	54.74
2006-09-30	51.65
2006-12-31	51.29
2007-03-31	55.08
2007-06-30	55.63
2007-09-30	59.0
2007-12-31	58.41
2008-03-31	62.16
2008-06-30	63.68
2008-09-30	58.73
2008-12-31	52.49
2009-03-31	49.83
2009-06-30	61.06
2009-07-31	61.99
2009-09-30	62.62
2009-12-31	52.92
2010-03-31	57.87
2010-06-30	47.62
2010-09-30	53.56
2010-12-31	50.32
2011-03-31	53.38
2011-06-30	55.45
2011-09-30	52.31
2011-12-31	50.32
2012-03-31	55.4
2012-06-30	52.6
2012-09-30	55.22
2012-12-31	57.63
2013-03-31	54.04
2013-06-30	54.74
2013-07-31	56.25
2013-09-30	56.66
2013-10-31	56.64
2013-11-30	57.28
2013-12-31	57.96
2014-01-31	56.75
2014-02-28	59.03
2014-03-31	57.2
2014-04-30	58.11
2014-05-31	55.37
2014-06-30	55.48
2014-07-31	54.73
2014-08-31	54.05
2014-09-30	52.15
2014-10-31	55.18
2014-11-30	55.25
2014-12-31	50.46
2015-01-31	48.34
2015-02-28	48.18
2015-03-31	45.95
2015-04-30	47.91
2015-05-31	47.18
2015-06-30	47.32
2015-07-31	46.49
2015-08-31	46.32
2015-09-30	45.89
2015-10-31	45.3
2015-11-30	43.58
2015-12-31	43.84
2016-01-31	43.96
2016-02-29	43.97
2016-03-31	44.93
2016-04-30	45.78
2016-05-31	44.31
2016-06-30	42.68
2016-07-31	42.75
2016-08-31	42.32
2016-09-30	42.34
2016-10-31	50.05
2016-11-30	49.44
2016-12-31	48.91
2017-01-31	50.35
2017-02-28	40.7
2017-03-31	41.18
2017-04-30	41.88
2017-05-31	43.89
2017-06-30	43.98
2017-07-31	45.32
2017-08-31	46.48
2017-09-30	46.26
2017-10-31	46.83
2017-11-30	47.66
2017-12-31	47.72
2018-01-31	49.16
2018-02-28	48.04
2018-03-31	48.45
2018-04-30	47.17
2018-05-31	47.42
2018-06-30	47.19
2018-07-31	46.77
2018-08-31	48.25
2018-09-30	48.11
2018-10-31	47.56
2018-11-30	46.32
2018-12-31	46.84
2019-01-31	48.07
2019-02-28	47.35
